child_frame_id,header_frame_id,header_seq,header_stamp_nsecs,header_stamp_secs,transform_rotation_w,transform_rotation_x,transform_rotation_y,transform_rotation_z,transform_translation_x,transform_translation_y,transform_translation_z
"vicon/OBSTACLE/OBSTACLE","/world",433519,98418498,1545433869,-0.0794627928331,-0.0037460901473,-0.00883973374509,0.996791598315,-0.0709089157802,-0.0505141688006,0.276228574008
"vicon/OBSTACLE/OBSTACLE","/world",433520,108624578,1545433869,-0.0794643875376,-0.00365765010782,-0.0087952247616,0.996792193353,-0.0709594793254,-0.0505004795909,0.276252382044
"vicon/OBSTACLE/OBSTACLE","/world",433521,118404756,1545433869,-0.0794426902934,-0.00366033670209,-0.00878110360542,0.996794037459,-0.071018573845,-0.0505003424566,0.276245700561
"vicon/OBSTACLE/OBSTACLE","/world",433522,128408582,1545433869,-0.0794688468206,-0.00366482816608,-0.00884609252274,0.996791361352,-0.071001238276,-0.0505123112889,0.276243920025
"vicon/OBSTACLE/OBSTACLE","/world",433523,138397794,1545433869,-0.0794353101702,-0.00373584377251,-0.00889941675919,0.996793296201,-0.0709577916784,-0.0505289611897,0.276227009751
"vicon/OBSTACLE/OBSTACLE","/world",433524,148479589,1545433869,-0.0794345375326,-0.00374031727216,-0.00886677781938,0.996793631864,-0.0709216350437,-0.050517965116,0.276217125199
"vicon/OBSTACLE/OBSTACLE","/world",433525,158568079,1545433869,-0.0794418161556,-0.00372807787832,-0.00885260148401,0.996793223657,-0.0709460661772,-0.0505089684275,0.276224595078
"vicon/OBSTACLE/OBSTACLE","/world",433526,168453609,1545433869,-0.0794492348353,-0.00368214781065,-0.00883574865601,0.996792952632,-0.0709866492313,-0.0504970672369,0.276230133639
"vicon/OBSTACLE/OBSTACLE","/world",433527,178414622,1545433869,-0.0794476610404,-0.00370862099751,-0.00887185884693,0.996792659186,-0.0710105363556,-0.0505212817135,0.276260748587
"vicon/OBSTACLE/OBSTACLE","/world",433528,188403471,1545433869,-0.0794629474653,-0.00364853116821,-0.00880327898178,0.996792270475,-0.0709842286262,-0.0505237840648,0.276239136651
"vicon/OBSTACLE/OBSTACLE","/world",433529,198413051,1545433869,-0.0794460470045,-0.00374538877489,-0.00887508636591,0.996792621622,-0.0709297613043,-0.050514681379,0.276210960519
"vicon/OBSTACLE/OBSTACLE","/world",433530,208759770,1545433869,-0.0794540373149,-0.00371510442247,-0.00886241753911,0.996792210799,-0.0709282500095,-0.050504825186,0.276206004883
"vicon/OBSTACLE/OBSTACLE","/world",433531,218694525,1545433869,-0.079431432948,-0.00367755918687,-0.00884188115942,0.99679433393,-0.0709675667216,-0.0505134032001,0.276244502452
"vicon/OBSTACLE/OBSTACLE","/world",433532,228872298,1545433869,-0.0794517785302,-0.00367032923411,-0.00884621842197,0.996792700611,-0.0709882049173,-0.050515502627,0.276263608232
"vicon/OBSTACLE/OBSTACLE","/world",433533,238669175,1545433869,-0.079443277823,-0.00370676053792,-0.00890146346886,0.99679275152,-0.0709977914863,-0.0505013332199,0.276239342216
"vicon/OBSTACLE/OBSTACLE","/world",433534,248758982,1545433869,-0.0794240780303,-0.00372077736471,-0.00887622212703,0.996794454402,-0.0709894363148,-0.0505159959132,0.276223706036
"vicon/OBSTACLE/OBSTACLE","/world",433535,260467524,1545433869,-0.0794432244167,-0.00371392353877,-0.00887498196099,0.996792965245,-0.0709494033836,-0.0505432121189,0.276220689434
"vicon/OBSTACLE/OBSTACLE","/world",433536,268580407,1545433869,-0.0794486104092,-0.0037429458771,-0.00885891316933,0.996792570356,-0.0709401413575,-0.050527751506,0.276234979152
"vicon/OBSTACLE/OBSTACLE","/world",433537,278592126,1545433869,-0.0794542282655,-0.00365949361843,-0.00884262659798,0.996792577055,-0.0709489049632,-0.0504927906495,0.276235390288
"vicon/OBSTACLE/OBSTACLE","/world",433538,288548519,1545433869,-0.0794697989254,-0.00367021702009,-0.00880838533144,0.99679159954,-0.0709822906835,-0.0504857097184,0.276230796031
"vicon/OBSTACLE/OBSTACLE","/world",433539,298541044,1545433869,-0.0794533483794,-0.00370729112134,-0.00886685852507,0.996792255309,-0.0709887269714,-0.0505096443845,0.276235604361
"vicon/OBSTACLE/OBSTACLE","/world",433540,309559863,1545433869,-0.0794624092206,-0.00375009113741,-0.00889827819615,0.996791092949,-0.0709660804137,-0.0505378102803,0.276229489337
"vicon/OBSTACLE/OBSTACLE","/world",433541,318552008,1545433869,-0.0794332638838,-0.00370855396423,-0.0088713678433,0.996793811201,-0.0709443768336,-0.0505394570724,0.276224626888
"vicon/OBSTACLE/OBSTACLE","/world",433542,328366238,1545433869,-0.0794435101778,-0.00372064312963,-0.00884858811712,0.99679315206,-0.070940575271,-0.0505117984522,0.276215385306
"vicon/OBSTACLE/OBSTACLE","/world",433543,338452283,1545433869,-0.0794477203039,-0.00366854636961,-0.00882672383144,0.996793203454,-0.0709559598509,-0.0504835962545,0.276229813675
"vicon/OBSTACLE/OBSTACLE","/world",433544,348536447,1545433869,-0.0794723530004,-0.00365742488849,-0.0087691695572,0.996791788699,-0.0709829230743,-0.0504886094496,0.276259326317
"vicon/OBSTACLE/OBSTACLE","/world",433545,359346519,1545433869,-0.0794572885345,-0.00369022955783,-0.00881617176253,0.996792454135,-0.0709752846651,-0.0505212194932,0.27624665562
"vicon/OBSTACLE/OBSTACLE","/world",433546,368749124,1545433869,-0.0794496151609,-0.00376202591318,-0.00887959131981,0.996792234455,-0.0709511340591,-0.05053569347,0.276209317561
"vicon/OBSTACLE/OBSTACLE","/world",433547,379366607,1545433869,-0.0794319845359,-0.00378178146885,-0.00889432306012,0.996793433455,-0.0709394990803,-0.0505407716283,0.276197265875
"vicon/OBSTACLE/OBSTACLE","/world",433548,388662806,1545433869,-0.0794573242174,-0.00374062188142,-0.00888386470718,0.996791662447,-0.0709451299484,-0.0505249076012,0.276220786745
"vicon/OBSTACLE/OBSTACLE","/world",433549,398577726,1545433869,-0.0794661555567,-0.00367693133753,-0.00880215763967,0.996791920271,-0.0709496490211,-0.0505050920191,0.276255526272
"vicon/OBSTACLE/OBSTACLE","/world",433550,409292176,1545433869,-0.0794729919727,-0.00366039353188,-0.00880648079832,0.996791397917,-0.0709509863757,-0.0504817981708,0.276251076222
"vicon/OBSTACLE/OBSTACLE","/world",433551,418438216,1545433869,-0.0794759088878,-0.00371423224193,-0.00885965906972,0.996790494952,-0.0709837740014,-0.0504906756699,0.276231804269
"vicon/OBSTACLE/OBSTACLE","/world",433552,428373609,1545433869,-0.0794484167318,-0.00377757940604,-0.00890886512642,0.996792009947,-0.0709803089019,-0.0505472204252,0.276219992596
"vicon/OBSTACLE/OBSTACLE","/world",433553,438395727,1545433869,-0.0794275126553,-0.00376675416885,-0.00889981212505,0.996793797704,-0.0709621388601,-0.0505637598364,0.276221499684
"vicon/OBSTACLE/OBSTACLE","/world",433554,448614942,1545433869,-0.0794255617287,-0.0037419931278,-0.00885231131677,0.996794469395,-0.0709344938172,-0.0505135943069,0.276211077699
"vicon/OBSTACLE/OBSTACLE","/world",433555,458783794,1545433869,-0.0794488784202,-0.00371977083118,-0.00884128195342,0.996792792287,-0.0709498880797,-0.0504684061319,0.2762261483
"vicon/OBSTACLE/OBSTACLE","/world",433556,468823340,1545433869,-0.0794614278,-0.00368838691175,-0.00884021568759,0.996791918045,-0.070960365411,-0.0504826748166,0.27625293988
"vicon/OBSTACLE/OBSTACLE","/world",433557,478720860,1545433869,-0.0794487921389,-0.00361208240343,-0.00878228750742,0.996793716731,-0.0709782202793,-0.0505266848205,0.276259813316
"vicon/OBSTACLE/OBSTACLE","/world",433558,488635981,1545433869,-0.0794248376951,-0.0037383499564,-0.00888523929168,0.996794247786,-0.070978546328,-0.0505390684266,0.276224922043
"vicon/OBSTACLE/OBSTACLE","/world",433559,498640824,1545433869,-0.0794358638685,-0.00374728162932,-0.00888985700559,0.996793294447,-0.0709669997621,-0.0505295672545,0.276177282801
"vicon/OBSTACLE/OBSTACLE","/world",433560,509093643,1545433869,-0.0794323466579,-0.00375567374525,-0.00891626531279,0.996793307277,-0.070946963509,-0.0505189653515,0.2762059749
"vicon/OBSTACLE/OBSTACLE","/world",433561,518547390,1545433869,-0.079434023516,-0.00372106847933,-0.0088860791778,0.99679357299,-0.070945536841,-0.0504978105749,0.276242841254
"vicon/OBSTACLE/OBSTACLE","/world",433562,528521477,1545433869,-0.0794789608781,-0.00373695960977,-0.0088931658623,0.996789868283,-0.0709588508989,-0.0504873479224,0.276257495474
"vicon/OBSTACLE/OBSTACLE","/world",433563,539460981,1545433869,-0.0794538958719,-0.00368877690849,-0.00885326248163,0.996792401205,-0.0709707409037,-0.0504939085832,0.276221114752
"vicon/OBSTACLE/OBSTACLE","/world",433564,548533230,1545433869,-0.0794234834426,-0.00375677345269,-0.00888019250278,0.996794331401,-0.0709687370302,-0.0505341114536,0.276201265468
"vicon/OBSTACLE/OBSTACLE","/world",433565,558488942,1545433869,-0.0794548007871,-0.0037616763687,-0.00888930695251,0.996791735843,-0.070954135646,-0.050551316664,0.276202811635
"vicon/OBSTACLE/OBSTACLE","/world",433566,568557108,1545433869,-0.0794589329747,-0.00373434481032,-0.00884788560325,0.996791877756,-0.0709311185566,-0.0505182830299,0.276225122495
"vicon/OBSTACLE/OBSTACLE","/world",433567,578564937,1545433869,-0.0794512233046,-0.00369000857043,-0.00883194641335,0.996792798767,-0.0709497036773,-0.0504687600275,0.276240499462
"vicon/OBSTACLE/OBSTACLE","/world",433568,588516253,1545433869,-0.0794504535816,-0.00371966368798,-0.00889746431255,0.996792167233,-0.0709732651598,-0.050471881172,0.276221325133
"vicon/OBSTACLE/OBSTACLE","/world",433569,598585048,1545433869,-0.0794513736155,-0.00370569567965,-0.00885758967139,0.996792501053,-0.0709599895157,-0.0505226754172,0.27621349337
"vicon/OBSTACLE/OBSTACLE","/world",433570,608562500,1545433869,-0.0794521510353,-0.00375211085932,-0.00887580079632,0.99679210346,-0.0709503591706,-0.0505419430765,0.276196396256
"vicon/OBSTACLE/OBSTACLE","/world",433571,618498090,1545433869,-0.0794619538062,-0.00374447900393,-0.00889925434372,0.996791141637,-0.0709479289364,-0.0505159864199,0.276185760093
"vicon/OBSTACLE/OBSTACLE","/world",433572,628506726,1545433869,-0.0794415724936,-0.00371733976104,-0.00881447896423,0.99679362102,-0.0709439460284,-0.0505026342978,0.276224913282
"vicon/OBSTACLE/OBSTACLE","/world",433573,638480945,1545433869,-0.0794652974542,-0.00367625396388,-0.00879356559086,0.996792067014,-0.0709250087488,-0.0504923802011,0.276237134878
"vicon/OBSTACLE/OBSTACLE","/world",433574,648464702,1545433869,-0.0794562698617,-0.00371539246175,-0.00883283976568,0.996792294302,-0.070937058795,-0.0504886138188,0.2762491713
"vicon/OBSTACLE/OBSTACLE","/world",433575,658496271,1545433869,-0.079436918938,-0.00370101981843,-0.00885813267347,0.996793665634,-0.0709792448239,-0.0505151653271,0.276218373352
"vicon/OBSTACLE/OBSTACLE","/world",433576,668398034,1545433869,-0.0794431192115,-0.00376049765874,-0.00886120808279,0.996792921553,-0.0709722774412,-0.0505440406635,0.276192371976
"vicon/OBSTACLE/OBSTACLE","/world",433577,678690162,1545433869,-0.0794472355747,-0.00376141228891,-0.0088757388317,0.996792460745,-0.0709473885828,-0.0505358335069,0.276182073733
"vicon/OBSTACLE/OBSTACLE","/world",433578,688811991,1545433869,-0.0794448130538,-0.00368892510259,-0.0087987037638,0.996793607685,-0.070927247195,-0.0504919985554,0.276211601963
"vicon/OBSTACLE/OBSTACLE","/world",433579,699724494,1545433869,-0.0794600226736,-0.0037407535351,-0.00887028559916,0.996791567778,-0.0709442022958,-0.0504782099286,0.276241197573
"vicon/OBSTACLE/OBSTACLE","/world",433580,709739237,1545433869,-0.0794501706088,-0.00370637008468,-0.00881974958246,0.996792929965,-0.0709519398913,-0.0504724141544,0.276228180559
"vicon/OBSTACLE/OBSTACLE","/world",433581,718731087,1545433869,-0.0794387729207,-0.00377273926571,-0.00893188283224,0.996792590896,-0.0709842542128,-0.050517519685,0.27622288291
"vicon/OBSTACLE/OBSTACLE","/world",433582,728634868,1545433869,-0.0794360567767,-0.00374516170146,-0.00884858447292,0.996793654274,-0.0709775119497,-0.0505608105416,0.276199281156
"vicon/OBSTACLE/OBSTACLE","/world",433583,738554348,1545433869,-0.0794551117638,-0.0037372155548,-0.00885252151031,0.996792130435,-0.0709345043766,-0.0505365113318,0.276187525882
"vicon/OBSTACLE/OBSTACLE","/world",433584,748564795,1545433869,-0.0794464027006,-0.00374044843334,-0.00887818618883,0.996792584219,-0.0709008630933,-0.0504895847278,0.276193301723
"vicon/OBSTACLE/OBSTACLE","/world",433585,758759262,1545433869,-0.0794686557474,-0.00369235587623,-0.00882430210875,0.996791468139,-0.070923206476,-0.050452540146,0.276222212058
"vicon/OBSTACLE/OBSTACLE","/world",433586,768525122,1545433869,-0.0794599425387,-0.00365096205851,-0.0087772367219,0.996792730774,-0.070983367733,-0.0504954830078,0.276243817501
"vicon/OBSTACLE/OBSTACLE","/world",433587,778554593,1545433869,-0.0794499432682,-0.00373937127918,-0.00887718539392,0.996792314977,-0.0709894762866,-0.0505300750515,0.276244669297
"vicon/OBSTACLE/OBSTACLE","/world",433588,788504550,1545433869,-0.0794413773936,-0.00375083633715,-0.0088687242848,0.996793029929,-0.0709657145351,-0.0505447571061,0.276202474003
"vicon/OBSTACLE/OBSTACLE","/world",433589,798471253,1545433869,-0.0794236481305,-0.00377225608723,-0.00890630597821,0.996794026826,-0.0709261198169,-0.0505378338317,0.276160962477
"vicon/OBSTACLE/OBSTACLE","/world",433590,808431849,1545433869,-0.0794489062107,-0.00376192581034,-0.00886903077194,0.996792385359,-0.0709175602999,-0.0505070588612,0.276190226089
"vicon/OBSTACLE/OBSTACLE","/world",433591,818412518,1545433869,-0.0794596313863,-0.00365434505791,-0.0087900256301,0.996792630486,-0.0709260660885,-0.0504827176595,0.276243099972
"vicon/OBSTACLE/OBSTACLE","/world",433592,828358151,1545433869,-0.079456913273,-0.0036793502596,-0.00879352635425,0.996792724296,-0.0709748764754,-0.050481360641,0.276272089715
"vicon/OBSTACLE/OBSTACLE","/world",433593,838372531,1545433869,-0.0794315584854,-0.00372225920197,-0.00886048786341,0.996793992788,-0.0709890521015,-0.0505163605182,0.276240435185
"vicon/OBSTACLE/OBSTACLE","/world",433594,848452693,1545433869,-0.0794257994378,-0.00378446227881,-0.00889411892223,0.996793917958,-0.0709595192817,-0.0505436559164,0.276204613822
"vicon/OBSTACLE/OBSTACLE","/world",433595,858632078,1545433869,-0.079432247936,-0.00380009391698,-0.00890760792384,0.996793224192,-0.0709309096033,-0.0505354758927,0.276197385142
"vicon/OBSTACLE/OBSTACLE","/world",433596,868787373,1545433869,-0.0794354212269,-0.00375168800487,-0.0088583132802,0.996793593969,-0.0709358224233,-0.050506096739,0.276195217183
"vicon/OBSTACLE/OBSTACLE","/world",433597,878896887,1545433869,-0.0794703440987,-0.00365054370084,-0.00882132871943,0.996791513858,-0.0709766024509,-0.0504589677965,0.276232154542
"vicon/OBSTACLE/OBSTACLE","/world",433598,888667503,1545433869,-0.0794494198725,-0.00366759235656,-0.00879629624194,0.996793340478,-0.0709922343229,-0.0504808652528,0.276275033258
"vicon/OBSTACLE/OBSTACLE","/world",433599,898564677,1545433869,-0.079458262895,-0.00368143986928,-0.0088316477862,0.996792271968,-0.0709745688485,-0.0505236709829,0.276263211875
"vicon/OBSTACLE/OBSTACLE","/world",433600,908474217,1545433869,-0.07943065155,-0.00375592162998,-0.00888145018106,0.996793752232,-0.0709526463275,-0.0505396424859,0.276214099704
"vicon/OBSTACLE/OBSTACLE","/world",433601,918403116,1545433869,-0.0794255992739,-0.00380012905036,-0.00890618211182,0.996793766593,-0.0709179004186,-0.0505181516888,0.276172083564
"vicon/OBSTACLE/OBSTACLE","/world",433602,928651896,1545433869,-0.0794353325332,-0.00376280184578,-0.00889787407265,0.996793206791,-0.0709189522031,-0.0504910770415,0.276204473421
"vicon/OBSTACLE/OBSTACLE","/world",433603,938929107,1545433869,-0.0794501662339,-0.00366797641011,-0.00881401679687,0.996793123041,-0.0709637003622,-0.0504909572676,0.276272957669
"vicon/OBSTACLE/OBSTACLE","/world",433604,948760155,1545433869,-0.0794775500601,-0.00361150515775,-0.00880643952294,0.996791213189,-0.070996097601,-0.0504970732129,0.276306869213
"vicon/OBSTACLE/OBSTACLE","/world",433605,958779142,1545433869,-0.079451757333,-0.00369410904524,-0.00886152751834,0.996792478475,-0.0709916153543,-0.0504951141746,0.27625764584
"vicon/OBSTACLE/OBSTACLE","/world",433606,968650324,1545433869,-0.0794283923297,-0.00378120249522,-0.00888731266113,0.996793784427,-0.0709461308742,-0.0505090073981,0.276185837502
"vicon/OBSTACLE/OBSTACLE","/world",433607,978572249,1545433869,-0.0794184075753,-0.00378548936408,-0.00890007755622,0.996794449838,-0.0709359439084,-0.0505368280323,0.276184751992
"vicon/OBSTACLE/OBSTACLE","/world",433608,988599522,1545433869,-0.0794451640719,-0.00372458434102,-0.00883755059233,0.996793103446,-0.0709304657493,-0.0505177422945,0.276239369932
"vicon/OBSTACLE/OBSTACLE","/world",433609,998622544,1545433869,-0.0794747223657,-0.00366853455725,-0.00883073396962,0.996791015457,-0.070971568636,-0.0504794566106,0.276282312564
"vicon/OBSTACLE/OBSTACLE","/world",433610,8551824,1545433870,-0.0794453557121,-0.00367447827718,-0.0088325901305,0.996793318104,-0.0709719467683,-0.0504785727368,0.276276367858
"vicon/OBSTACLE/OBSTACLE","/world",433611,18594991,1545433870,-0.0794407307871,-0.00364780972521,-0.00880975491459,0.996793986737,-0.0709743745311,-0.0505115799573,0.276241006974
"vicon/OBSTACLE/OBSTACLE","/world",433612,28517362,1545433870,-0.079425314988,-0.00374382592583,-0.00885858292223,0.996794426457,-0.0709449024907,-0.0505391208478,0.276209193919
"vicon/OBSTACLE/OBSTACLE","/world",433613,38573013,1545433870,-0.0794304223664,-0.00375632509128,-0.00890423553942,0.996793565697,-0.0709262799715,-0.0505111143671,0.276194457126
"vicon/OBSTACLE/OBSTACLE","/world",433614,48547939,1545433870,-0.0794282046628,-0.00373621919162,-0.00885810973139,0.996794228947,-0.0709566367957,-0.0504868999453,0.276231750399
"vicon/OBSTACLE/OBSTACLE","/world",433615,58544488,1545433870,-0.0794309902628,-0.00365978039173,-0.00877504554115,0.996795025253,-0.0709745837152,-0.0504824638987,0.276280941419
"vicon/OBSTACLE/OBSTACLE","/world",433616,68568777,1545433870,-0.0794431274202,-0.00367078728974,-0.00881368582086,0.99679367663,-0.0709548719609,-0.0504905445409,0.276286681877
"vicon/OBSTACLE/OBSTACLE","/world",433617,78531263,1545433870,-0.0794376868478,-0.00375491144289,-0.00888521719057,0.996793161826,-0.0709316086733,-0.0504919548447,0.276214641622
"vicon/OBSTACLE/OBSTACLE","/world",433618,88588417,1545433870,-0.079434277652,-0.00375668776431,-0.00889899448384,0.996793303914,-0.0709304836556,-0.0504940637422,0.276166590069
"vicon/OBSTACLE/OBSTACLE","/world",433619,100025307,1545433870,-0.0794263195916,-0.00375792480265,-0.00888133004726,0.99679409094,-0.0709375960567,-0.0505046143128,0.276188990011
