data
"no"
"no"
"no"
"no"
"no"
"y
"
"y
"
"y
"
"y
"
"y
"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
"no"
