angular_x,angular_y,angular_z,linear_x,linear_y,linear_z
0.0,0.0,0.0,-0.0913047338183,0.35936208061,0.0
0.0,0.0,0.0,-0.090998801095,0.359865195229,0.0
0.0,0.0,0.0,-0.091226315548,0.360182591298,0.0
0.0,0.0,0.0,-0.0912292794612,0.360659056568,0.0
0.0,0.0,0.0,-0.0913818344722,0.361025018478,0.0
0.0,0.0,0.0,-0.0916993102488,0.361464068128,0.0
0.0,0.0,0.0,-0.091395240045,0.361880239261,0.0
0.0,0.0,0.0,-0.0917003699018,0.362382640863,0.0
0.0,0.0,0.0,-0.0920479350386,0.362590802076,0.0
0.0,0.0,0.0,-0.0920801022515,0.363060243207,0.0
0.0,0.0,0.0,-0.0922783290122,0.363492442253,0.0
0.0,0.0,0.0,-0.0923761275897,0.363877679439,0.0
0.0,0.0,0.0,-0.0924874759767,0.364339955322,0.0
0.0,0.0,0.0,-0.0924403822199,0.364706684696,0.0
0.0,0.0,0.0,-0.0926087371435,0.365164661825,0.0
0.0,0.0,0.0,-0.0926417989894,0.365589379634,0.0
0.0,0.0,0.0,-0.092889942434,0.365916899882,0.0
0.0,0.0,0.0,-0.0927546150903,0.36641188873,0.0
0.0,0.0,0.0,-0.0930760062001,0.366810852187,0.0
0.0,0.0,0.0,-0.093027988535,0.367247116116,0.0
0.0,0.0,0.0,-0.0931266738566,0.367636696717,0.0
0.0,0.0,0.0,-0.0935775424331,0.367862292662,0.0
0.0,0.0,0.0,-0.0937667815208,0.368376787574,0.0
0.0,0.0,0.0,-0.093632526575,0.368910392735,0.0
0.0,0.0,0.0,-0.0937443357837,0.369154649641,0.0
0.0,0.0,0.0,-0.0938665874747,0.369636063049,0.0
0.0,0.0,0.0,-0.0934660773932,0.370094541174,0.0
0.0,0.0,0.0,-0.0940885315408,0.370540345897,0.0
0.0,0.0,0.0,-0.0942908582706,0.370900497027,0.0
0.0,0.0,0.0,-0.09464835477,0.371160768088,0.0
0.0,0.0,0.0,-0.0947669265085,0.371647231329,0.0
0.0,0.0,0.0,-0.0948611488628,0.372016742913,0.0
0.0,0.0,0.0,-0.094868606992,0.372508039992,0.0
0.0,0.0,0.0,-0.0966125710641,0.372842176926,0.0
0.0,0.0,0.0,-0.0966934779201,0.373106645827,0.0
0.0,0.0,0.0,-0.0967502510915,0.373325713834,0.0
0.0,0.0,0.0,-0.103537812407,0.379502456444,0.0
