data
"GO TO GOAL; distance to goal: 2.83071063982"
"GO TO GOAL; distance to goal: 2.83071794771"
"GO TO GOAL; distance to goal: 2.83069612852"
"GO TO GOAL; distance to goal: 2.8306934917"
"GO TO GOAL; distance to goal: 2.83067580518"
"GO TO GOAL; distance to goal: 2.83069627692"
"GO TO GOAL; distance to goal: 2.83067053806"
"GO TO GOAL; distance to goal: 2.83071080982"
"GO TO GOAL; distance to goal: 2.83068410273"
"GO TO GOAL; distance to goal: 2.83067702155"
"GO TO GOAL; distance to goal: 2.83069059473"
"GO TO GOAL; distance to goal: 2.83069059473"
"GO TO GOAL; distance to goal: 2.83071446998"
"GO TO GOAL; distance to goal: 2.83069899507"
"GO TO GOAL; distance to goal: 2.83071296196"
"GO TO GOAL; distance to goal: 2.83072382793"
"GO TO GOAL; distance to goal: 2.83071237177"
"GO TO GOAL; distance to goal: 2.83071192082"
"GO TO GOAL; distance to goal: 2.83073078587"
"GO TO GOAL; distance to goal: 2.83074214886"
"GO TO GOAL; distance to goal: 2.83074214886"
"GO TO GOAL; distance to goal: 2.83069754296"
"GO TO GOAL; distance to goal: 2.83071231001"
"GO TO GOAL; distance to goal: 2.83075409853"
"GO TO GOAL; distance to goal: 2.83071805568"
"GO TO GOAL; distance to goal: 2.83071805568"
"GO TO GOAL; distance to goal: 2.83068121175"
"GO TO GOAL; distance to goal: 2.83072190219"
"GO TO GOAL; distance to goal: 2.83074802998"
"GO TO GOAL; distance to goal: 2.83073304347"
"GO TO GOAL; distance to goal: 2.83075468239"
"GO TO GOAL; distance to goal: 2.83075468239"
"GO TO GOAL; distance to goal: 2.83077970895"
"GO TO GOAL; distance to goal: 2.83095950756"
"GO TO GOAL; distance to goal: 2.83105868442"
"GO TO GOAL; distance to goal: 2.83105868442"
"GO TO GOAL; distance to goal: 2.83448069549"
"GO TO GOAL; distance to goal: 2.83723962395"
"GO TO GOAL; distance to goal: 2.83723962395"
"GO TO GOAL; distance to goal: 2.83723962395"
"GO TO GOAL; distance to goal: 2.85249284328"
"GO TO GOAL; distance to goal: 2.85394529411"
"GO TO GOAL; distance to goal: 2.85394529411"
"GO TO GOAL; distance to goal: 2.87012105427"
"GO TO GOAL; distance to goal: 2.87529823447"
"GO TO GOAL; distance to goal: 2.88042266056"
"GO TO GOAL; distance to goal: 2.88602217353"
"GO TO GOAL; distance to goal: 2.89137287389"
"GO TO GOAL; distance to goal: 2.89320094641"
"GO TO GOAL; distance to goal: 2.89484340794"
"GO TO GOAL; distance to goal: 2.90286140245"
"GO TO GOAL; distance to goal: 2.90643728008"
"GO TO GOAL; distance to goal: 2.90726464631"
"GO TO GOAL; distance to goal: 2.91160604498"
"GO TO GOAL; distance to goal: 2.91398482536"
"GO TO GOAL; distance to goal: 2.91725391613"
"GO TO GOAL; distance to goal: 2.92014641008"
"GO TO GOAL; distance to goal: 2.92374540993"
"GO TO GOAL; distance to goal: 2.92570634457"
"GO TO GOAL; distance to goal: 2.92790395133"
"GO TO GOAL; distance to goal: 2.92999908802"
"GO TO GOAL; distance to goal: 2.93151976971"
"GO TO GOAL; distance to goal: 2.93273945803"
"GO TO GOAL; distance to goal: 2.93388820179"
"GO TO GOAL; distance to goal: 2.93457359004"
"GO TO GOAL; distance to goal: 2.93536973527"
"GO TO GOAL; distance to goal: 2.93624065602"
"GO TO GOAL; distance to goal: 2.93645419266"
"GO TO GOAL; distance to goal: 2.93683913947"
"GO TO GOAL; distance to goal: 2.9372741651"
"GO TO GOAL; distance to goal: 2.93793766809"
"GO TO GOAL; distance to goal: 2.93836614947"
"GO TO GOAL; distance to goal: 2.93865086246"
"GO TO GOAL; distance to goal: 2.93949073406"
"GO TO GOAL; distance to goal: 2.94003183049"
"GO TO GOAL; distance to goal: 2.94060812685"
"GO TO GOAL; distance to goal: 2.94140327191"
"GO TO GOAL; distance to goal: 2.94214529066"
"GO TO GOAL; distance to goal: 2.9425100364"
"GO TO GOAL; distance to goal: 2.94325782175"
"GO TO GOAL; distance to goal: 2.94385200417"
"GO TO GOAL; distance to goal: 2.94456163238"
"GO TO GOAL; distance to goal: 2.94491176517"
"GO TO GOAL; distance to goal: 2.94549716806"
"GO TO GOAL; distance to goal: 2.94585362845"
"GO TO GOAL; distance to goal: 2.94628345593"
"GO TO GOAL; distance to goal: 2.94643342172"
"GO TO GOAL; distance to goal: 2.94674946473"
"GO TO GOAL; distance to goal: 2.94678454661"
"GO TO GOAL; distance to goal: 2.9467739195"
"GO TO GOAL; distance to goal: 2.94682145858"
"GO TO GOAL; distance to goal: 2.94682145858"
"GO TO GOAL; distance to goal: 2.9467881068"
"GO TO GOAL; distance to goal: 2.94665644066"
"GO TO GOAL; distance to goal: 2.94644104924"
"GO TO GOAL; distance to goal: 2.94667347704"
"GO TO GOAL; distance to goal: 2.94602562651"
"GO TO GOAL; distance to goal: 2.94568480553"
"GO TO GOAL; distance to goal: 2.94528783534"
"GO TO GOAL; distance to goal: 2.94475945434"
"GO TO GOAL; distance to goal: 2.94400789384"
"GO TO GOAL; distance to goal: 2.94325938709"
"GO TO GOAL; distance to goal: 2.94231218757"
"GO TO GOAL; distance to goal: 2.94089651774"
"GO TO GOAL; distance to goal: 2.9397225753"
"GO TO GOAL; distance to goal: 2.93860883331"
"GO TO GOAL; distance to goal: 2.93782141933"
"GO TO GOAL; distance to goal: 2.9371330263"
"GO TO GOAL; distance to goal: 2.9369369709"
"GO TO GOAL; distance to goal: 2.93645501419"
"GO TO GOAL; distance to goal: 2.93629175164"
"GO TO GOAL; distance to goal: 2.93561758718"
"GO TO GOAL; distance to goal: 2.93497117226"
"GO TO GOAL; distance to goal: 2.93330193691"
"GO TO GOAL; distance to goal: 2.93127715253"
"GO TO GOAL; distance to goal: 2.92759586547"
"GO TO GOAL; distance to goal: 2.92238961264"
"GO TO GOAL; distance to goal: 2.91566581008"
"GO TO GOAL; distance to goal: 2.90732115706"
"GO TO GOAL; distance to goal: 2.89739109409"
"GO TO GOAL; distance to goal: 2.88653456883"
